species,decimallongitude,decimallatitude
Q_douglasii,-122.3749,38.2528
Q_douglasii,-122.3749,38.2528
Q_douglasii,-122.3749,38.2528
Q_douglasii,-122.3749,38.2528
Q_douglasii,-118.5373,35.2083
Q_douglasii,-118.5373,35.2083
Q_douglasii,-118.5373,35.2083
Q_douglasii,-118.5373,35.2083
Q_douglasii,-118.5373,35.2083
Q_douglasii,-118.5373,35.2083
Q_douglasii,-118.5373,35.2083
Q_douglasii,-121.8014,36.4529
Q_douglasii,-121.6429,37.3416
Q_douglasii,-121.8014,36.4529
Q_douglasii,-119.6989727,34.00785735
Q_douglasii,-119.7256,33.972
Q_douglasii,-120.2285,35.2019
Q_douglasii,-120.2285,35.2019
Q_douglasii,-121.233641,36.002784
Q_douglasii,-121.794,39.2911
Q_douglasii,-121.9707,38.5255
Q_douglasii,-122.1868926,38.45621757
Q_douglasii,-121.3481316,35.98219207
Q_douglasii,-121.25,35.9415
Q_douglasii,-120.72194,38.2975
Q_douglasii,-122.12528,37.995277
Q_douglasii,-118.75667,34.66222
Q_douglasii,-121.78833,39.18639
Q_douglasii,-119.5371,37.0535
Q_douglasii,-121.5064,39.3606
Q_douglasii,-121.2099,36.4984
Q_douglasii,-120.84667,38.53972
Q_douglasii,-118.7727,34.925
Q_douglasii,-118.5525,35.1309
Q_douglasii,-118.6788,35.6969
Q_douglasii,-120.4375,37.808333
Q_douglasii,-122.6997,38.5716
Q_douglasii,-118.6788,35.6969
Q_douglasii,-118.6788,35.6969
Q_douglasii,-118.5525,35.1309
Q_douglasii,-118.5525,35.1309
Q_douglasii,-122.8947,40.5869
Q_douglasii,-121.175,35.9708
Q_douglasii,-122.2979,37.4641
Q_douglasii,-121.643097,37.342098
Q_douglasii,-121.731944,39.778056
Q_douglasii,-122.508611,39.07
Q_douglasii,-118.4814,35.5589
Q_douglasii,-118.7295,35.5728
Q_douglasii,-118.6103,35.7194
Q_douglasii,-118.6216,35.7403
Q_douglasii,-119.0807,34.9125
Q_douglasii,-118.4814,35.5589
Q_douglasii,-118.5293,35.4657
Q_douglasii,-119.813,35.3459
Q_douglasii,-119.813,35.3459
Q_douglasii,-119.813,35.3459
Q_douglasii,-119.1733,34.9194
Q_douglasii,-119.1604,34.9118
Q_douglasii,-119.1604,34.9118
Q_douglasii,-119.1733,34.9194
Q_douglasii,-119.813,35.3459
Q_douglasii,-119.1604,34.9118
Q_douglasii,-121.3333723,39.22022044
Q_douglasii,-121.9503,37.8749
Q_douglasii,-121.4481,39.2003
Q_douglasii,-120.996,35.9063
Q_douglasii,-122.45933,40.2275
Q_douglasii,-119.1733,34.9194
Q_douglasii,-119.1604,34.9118
Q_douglasii,-119.1604,34.9118
Q_douglasii,-119.1604,34.9118
Q_douglasii,-119.1604,34.9118
Q_douglasii,-119.1733,34.9194
Q_douglasii,-122.7244,39.6511
Q_douglasii,-118.9108,34.2154
Q_douglasii,-118.9108,34.2154
Q_douglasii,-118.9097,34.2154
Q_douglasii,-119.9717,34.7302
Q_douglasii,-122.033825,38.551767
Q_douglasii,-122.7661,38.9746
Q_douglasii,-122.452,39.0257
Q_douglasii,-121.759722,39.770278
Q_douglasii,-121.6413447,37.34224119
Q_douglasii,-120.058334,34.741669
Q_douglasii,-120.0356,34.7248
Q_douglasii,-118.8345,35.7043
Q_douglasii,-121.7677208,37.59505049
Q_douglasii,-122.1863,37.3999
Q_douglasii,-121.8925976,37.89853981
Q_douglasii,-119.7959,34.5405
Q_douglasii,-119.6756767,34.43894541
Q_douglasii,-119.706,34.445
Q_douglasii,-119.7116775,34.44294504
Q_douglasii,-118.8170696,36.49671868
Q_douglasii,-119.985,34.7438
Q_douglasii,-119.8509765,34.04335524
Q_douglasii,-120.064,34.7347
Q_douglasii,-122.1788,37.4198
Q_douglasii,-120.0185,34.7414
Q_douglasii,-121.94972,37.84278
Q_douglasii,-121.9691191,37.88184255
Q_douglasii,-119.7086,34.4638
Q_douglasii,-121.6058517,37.55991258
Q_douglasii,-118.8665,34.8444
Q_douglasii,-118.8665,34.8444
Q_douglasii,-119.9055,37.2161
Q_douglasii,-118.42306,35.30694
Q_douglasii,-118.843056,34.834722
Q_douglasii,-121.6585,37.3785
Q_douglasii,-120.8329,38.0958
Q_douglasii,-118.8665,34.8444
Q_douglasii,-118.8665,34.8444
Q_douglasii,-118.8665,34.8444
Q_douglasii,-119.769,34.0064
Q_douglasii,-122.9854,40.3711
Q_douglasii,-120.13222,37.56667
Q_douglasii,-121.088,38.3758
Q_douglasii,-122.164444,38.026943
Q_douglasii,-121.604756,37.560169
Q_douglasii,-121.559008,36.372153
Q_douglasii,-122.2341,38.3143
Q_douglasii,-119.739889,37.123697
Q_douglasii,-119.814861,35.347389
Q_douglasii,-121.104467,36.489647
Q_douglasii,-121.907053,37.853811
Q_douglasii,-120.481669,36.020819
Q_douglasii,-121.007025,35.905811
Q_douglasii,-121.911664,37.881464
Q_douglasii,-123.0873,39.0033
Q_douglasii,-121.3911,36.1046
Q_douglasii,-121.217711,37.110936
Q_douglasii,-119.6911,34.456
Q_douglasii,-121.86855,40.434536
Q_douglasii,-120.012061,35.525058
Q_douglasii,-120.8845,38.696947
Q_douglasii,-118.478092,35.555117
Q_douglasii,-118.5525,35.1309
Q_douglasii,-120.477344,36.020914
Q_douglasii,-118.742161,35.555614
Q_douglasii,-120.0784047,37.81951902
Q_douglasii,-119.774,34.546
Q_douglasii,-118.8999,34.88
Q_douglasii,-118.8999,34.88
Q_douglasii,-118.8999,34.88
Q_douglasii,-118.709,34.741
Q_douglasii,-118.8794,34.8201
Q_douglasii,-119.985,34.7438
Q_douglasii,-120.0873,37.4377
Q_douglasii,-119.7677,35.329
Q_douglasii,-119.8129,35.3457
Q_douglasii,-121.5143019,40.99948795
Q_douglasii,-119.706,34.445
